Appliances,lights,T1,T2,T3,T4,T5,T6,T7,T8,T9,T_out,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_out,Press_mm_hg,Windspeed,Visibility,Tdewpoint
60,30,19.89,19.2,19.79,19.0,17.1666666666667,7.026666666666671,17.2,18.2,17.033333333333303,6.6,47.5966666666667,44.79,44.73,45.5666666666667,55.2,84.2566666666667,41.6266666666667,48.9,45.53,92.0,733.5,7.0,63.0,5.3
40,10,21.39,20.79,20.2,20.6333333333333,19.2,5.59,17.7,19.39,16.89,5.3,44.56,43.8633333333333,45.6633333333333,46.79,50.53,88.6333333333333,43.76,51.1633333333333,45.7,92.0,736.9,6.0,22.0,4.1
50,0,19.426666666666698,18.7,19.89,19.0,17.29,5.866666666666671,17.84,18.7,17.0,6.0,43.2,43.09,44.9,43.59,51.4,82.56,42.495,51.63125,46.6633333333333,80.0,747.4,8.0,40.0,2.7
50,0,19.29,18.7,20.323333333333295,18.79,18.356666666666698,1.66666666666667,18.1,19.6,16.6666666666667,2.8,42.09,41.4,43.7,41.23,67.9966666666667,89.5,39.8266666666667,48.93,43.2,89.0,755.5,5.0,29.0,1.2
50,0,23.6666666666667,22.79,21.2,18.7,18.745,1.39,18.6,19.7,17.1,0.8,39.6633333333333,39.4666666666667,43.06,44.2,55.79,89.46666666666668,41.2666666666667,48.826666666666696,46.0,94.0,749.2999999999998,9.0,52.0,0.0
50,0,23.0,22.15,21.0,21.2,20.29,2.0,18.79,20.6,17.89,2.4,40.0,38.79,41.9,43.79,60.5933333333333,94.46666666666668,40.363333333333294,47.4333333333333,47.06,97.0,761.1,3.0,28.0,1.9
30,0,22.5,21.533333333333296,21.463333333333296,21.175,18.6,0.4,19.7,21.426666666666698,17.7,0.5,39.363333333333294,38.09,42.2,41.0675,52.79,96.3666666666667,38.9666666666667,46.06,41.73,96.0,764.5,2.0,20.0,0.0
60,10,21.823333333333295,20.23,20.323333333333295,21.1666666666667,19.5,-4.65111111111111,20.26,21.7,17.6,-2.8,39.9,40.0,39.79,39.863333333333294,67.8933333333333,88.8133333333333,36.6933333333333,44.4,38.4,86.0,763.7,2.0,25.0,-4.9
50,20,20.39,19.2,20.0,20.29,17.5555555555556,-5.888888888888889,17.9755555555556,20.1,16.89,-4.5,39.09,39.23,40.3266666666667,38.26,65.2333333333333,82.8161111111111,33.4833333333333,43.99375,39.09,87.0,756.6,1.0,65.0,-6.3
40,0,19.79,18.89,19.2,18.5,17.79,-5.9777777777777805,17.463333333333303,20.2,16.39,-4.5,38.7,39.09,39.09,37.53,53.3333333333333,82.8922222222222,32.06,42.933333333333294,39.363333333333294,94.0,758.7999999999998,1.0,60.0,-5.4
